treaty_id,cedent_company,reinsurer_company,treaty_type,treaty_name,line_of_business,territory,cat_region,retention_amount,treaty_limit,attachment_point,cession_percent,reinsurer_share,risk_tier,exclusions,treaty_summary,source_system,data_sensitivity,effective_date,expiration_date,treaty_status,created_timestamp,updated_timestamp,created_by,updated_by,cat_exposure_score,coverage_region,limit_amount,reinstatement_terms
TRT-000056,Jones Ltd,Lamb-Bennett,Quota Share,United States Commercial Property Quota Share Treaty,Commercial Property,United States,United States,601589.31,10000000,601589.31,40,40.00,Medium,"Nuclear Exclusion, Terrorism Exclusion",Coverage includes regional catastrophe aggregation management.,reinsurance_admin_system,internal,2023-04-05,2024-04-04,Expired,2023-03-06T15:50:00.809970,2023-07-04T15:50:00.809970,reinsurance_analyst_001,reinsurance_analyst_001,0.61,United States,10000000.00,Not applicable / subject to treaty terms
TRT-000057,Padilla-Larson,Johnson-Jones,Surplus Share,Southeast US Commercial Auto Surplus Share Treaty,Commercial Auto,Southeast US,Southeast US,514291.90,5000000,514291.90,50,50.00,Low,"War Exclusion, Terrorism Exclusion",Reinsurance agreement structured for multi-line protection.,ceded_reinsurance_portal,confidential,2024-02-29,2025-02-28,Expired,2024-01-30T15:50:00.809970,2024-05-29T15:50:00.809970,ri_manager_001,ri_manager_001,0.82,Southeast US,5000000.00,Not applicable / subject to treaty terms
TRT-000058,Matthews PLC,Ballard LLC,Catastrophe XOL,United States Workers Compensation Catastrophe XOL Treaty,Workers Compensation,United States,United States,439765.19,5000000,439765.19,30,30.00,Medium,Nuclear Exclusion,Reinsurance agreement structured for multi-line protection.,treaty_management_platform,internal,2023-08-17,2024-08-16,Expired,2023-07-18T15:50:00.809970,2023-11-15T15:50:00.809970,reinsurance_analyst_001,ri_manager_001,0.44,United States,5000000.00,One reinstatement at 100% additional premium
TRT-000059,Mayer PLC,Brown and Sons,Catastrophe XOL,United States Cyber Catastrophe XOL Treaty,Cyber,United States,United States,2123518.13,10000000,2123518.13,10,10.00,Medium,Terrorism Exclusion,Catastrophe XOL treaty covering exposures in United States.,ceded_reinsurance_portal,internal,2024-07-04,2025-07-04,Expired,2024-06-04T15:50:00.809970,2024-10-02T15:50:00.809970,ri_manager_001,reinsurance_analyst_001,0.67,United States,10000000.00,One reinstatement at 100% additional premium
TRT-000060,Lawrence Inc,"Davis, Keller and Patel",Quota Share,Southeast US Commercial Auto Quota Share Treaty,Commercial Auto,Southeast US,Southeast US,427968.16,5000000,427968.16,75,75.00,Low,Terrorism Exclusion,Quota Share treaty covering exposures in Southeast US.,reinsurance_admin_system,confidential,2024-01-02,2025-01-01,Expired,2023-12-03T15:50:00.810970,2024-04-01T15:50:00.810970,reinsurance_analyst_001,ri_manager_001,0.29,Southeast US,5000000.00,Not applicable / subject to treaty terms
TRT-000061,Murray-Keller,Yu PLC,Catastrophe XOL,Gulf Coast General Liability Catastrophe XOL Treaty,General Liability,Gulf Coast,Gulf Coast,1431171.84,10000000,1431171.84,30,30.00,Medium,Terrorism Exclusion,Coverage includes regional catastrophe aggregation management.,reinsurance_admin_system,confidential,2025-07-14,2026-07-14,Active,2025-06-14T15:50:00.810970,2025-10-12T15:50:00.810970,ri_manager_001,reinsurance_analyst_001,0.53,Gulf Coast,10000000.00,One reinstatement at 100% additional premium
TRT-000062,Silva-Moreno,"Mullen, Campbell and Nelson",Excess of Loss,North America Workers Compensation Excess of Loss Treaty,Workers Compensation,North America,North America,472734.17,5000000,472734.17,10,10.00,Low,War Exclusion,Coverage includes regional catastrophe aggregation management.,ceded_reinsurance_portal,confidential,2026-03-20,2027-03-20,Active,2026-02-18T15:50:00.810970,2026-06-18T15:50:00.810970,ri_manager_001,reinsurance_analyst_001,0.76,North America,5000000.00,One reinstatement at 100% additional premium
TRT-000063,"Potter, Clark and Miller",Garrison-Osborn,Catastrophe XOL,Global Cyber Catastrophe XOL Treaty,Cyber,Global,Global,15499159.73,100000000,15499159.73,90,90.00,High,"Nuclear Exclusion, War Exclusion",Treaty includes catastrophe protection for Global.,reinsurance_admin_system,internal,2025-01-06,2026-01-06,Expired,2024-12-07T15:50:00.810970,2025-04-06T15:50:00.810970,ri_manager_001,ri_manager_001,0.38,Global,100000000.00,One reinstatement at 100% additional premium
TRT-000064,"Adams, Sloan and Salazar",Hayes-Fisher,Excess of Loss,Global Workers Compensation Excess of Loss Treaty,Workers Compensation,Global,Global,2656920.87,25000000,2656920.87,10,10.00,Low,War Exclusion,Treaty designed to reduce retained underwriting volatility.,ceded_reinsurance_portal,confidential,2026-05-01,2027-05-01,Active,2026-04-01T15:50:00.810970,2026-07-30T15:50:00.810970,ri_manager_001,reinsurance_analyst_001,0.61,Global,25000000.00,One reinstatement at 100% additional premium
TRT-000065,Jones-Anderson,Jarvis-Buck,Surplus Share,Global Commercial Auto Surplus Share Treaty,Commercial Auto,Global,Global,495342.69,5000000,495342.69,30,30.00,Low,"Pandemic Exclusion, Terrorism Exclusion",Coverage includes regional catastrophe aggregation management.,treaty_management_platform,restricted,2023-12-01,2024-11-30,Expired,2023-11-01T15:50:00.811970,2024-02-29T15:50:00.811970,reinsurance_analyst_001,reinsurance_analyst_001,0.82,Global,5000000.00,Not applicable / subject to treaty terms
TRT-000066,Chen Group,Mcconnell-Diaz,Excess of Loss,United States Cyber Excess of Loss Treaty,Cyber,United States,United States,9804720.06,100000000,9804720.06,40,40.00,Medium,"Terrorism Exclusion, Nuclear Exclusion",Coverage includes regional catastrophe aggregation management.,treaty_management_platform,restricted,2026-01-13,2027-01-13,Active,2025-12-14T15:50:00.811970,2026-04-13T15:50:00.811970,reinsurance_analyst_001,reinsurance_analyst_001,0.44,United States,100000000.00,One reinstatement at 100% additional premium
TRT-000067,Clark-Maxwell,"Fuller, Sloan and Johnson",Quota Share,Global Workers Compensation Quota Share Treaty,Workers Compensation,Global,Global,5081621.87,50000000,5081621.87,50,50.00,Medium,"Cyber Exclusion, Terrorism Exclusion",Coverage includes regional catastrophe aggregation management.,reinsurance_admin_system,confidential,2025-04-29,2026-04-29,Expired,2025-03-30T15:50:00.811970,2025-07-28T15:50:00.811970,ri_manager_001,ri_manager_001,0.67,Global,50000000.00,Not applicable / subject to treaty terms
TRT-000068,Mcgee Inc,Carter-Lopez,Surplus Share,Gulf Coast General Liability Surplus Share Treaty,General Liability,Gulf Coast,Gulf Coast,6609885.91,100000000,6609885.91,30,30.00,Medium,Cyber Exclusion,Coverage includes regional catastrophe aggregation management.,treaty_management_platform,restricted,2024-01-19,2025-01-18,Expired,2023-12-20T15:50:00.811970,2024-04-18T15:50:00.811970,reinsurance_analyst_001,ri_manager_001,0.29,Gulf Coast,100000000.00,Not applicable / subject to treaty terms
TRT-000069,Reeves Inc,"Smith, Martin and Erickson",Quota Share,North America General Liability Quota Share Treaty,General Liability,North America,North America,7425331.28,50000000,7425331.28,40,40.00,Medium,"Nuclear Exclusion, Pandemic Exclusion",Quota Share treaty covering exposures in North America.,reinsurance_admin_system,internal,2024-04-03,2025-04-03,Expired,2024-03-04T15:50:00.812970,2024-07-02T15:50:00.812970,reinsurance_analyst_001,ri_manager_001,0.53,North America,50000000.00,Not applicable / subject to treaty terms
TRT-000070,Simmons-Green,"Garrison, Lamb and Martin",Surplus Share,Global General Liability Surplus Share Treaty,General Liability,Global,Global,1423676.11,10000000,1423676.11,90,90.00,Medium,"Cyber Exclusion, Pandemic Exclusion",Coverage includes regional catastrophe aggregation management.,treaty_management_platform,internal,2024-12-10,2025-12-10,Expired,2024-11-10T15:50:00.812970,2025-03-10T15:50:00.812970,reinsurance_analyst_001,ri_manager_001,0.76,Global,10000000.00,Not applicable / subject to treaty terms
TRT-000071,"Weiss, Ramos and Smith","Baxter, Gomez and Perry",Quota Share,Gulf Coast Commercial Property Quota Share Treaty,Commercial Property,Gulf Coast,Gulf Coast,11590255.20,50000000,11590255.20,30,30.00,Medium,"Pandemic Exclusion, Terrorism Exclusion",Quota Share treaty covering exposures in Gulf Coast.,treaty_management_platform,confidential,2025-11-09,2026-11-09,Active,2025-10-10T15:50:00.812970,2026-02-07T15:50:00.812970,ri_manager_001,reinsurance_analyst_001,0.38,Gulf Coast,50000000.00,Not applicable / subject to treaty terms
TRT-000072,Johnson-Scott,Clark-Jones,Surplus Share,Southeast US General Liability Surplus Share Treaty,General Liability,Southeast US,Southeast US,1718651.55,10000000,1718651.55,40,40.00,Medium,"Terrorism Exclusion, Nuclear Exclusion",Reinsurance agreement structured for multi-line protection.,treaty_management_platform,restricted,2023-07-27,2024-07-26,Expired,2023-06-27T15:50:00.812970,2023-10-25T15:50:00.812970,reinsurance_analyst_001,reinsurance_analyst_001,0.61,Southeast US,10000000.00,Not applicable / subject to treaty terms
TRT-000073,"Hernandez, Henson and Owens",Perry-Johnson,Excess of Loss,United States Cyber Excess of Loss Treaty,Cyber,United States,United States,290421.89,5000000,290421.89,90,90.00,Low,"Pandemic Exclusion, Nuclear Exclusion",Treaty designed to reduce retained underwriting volatility.,treaty_management_platform,confidential,2025-05-10,2026-05-10,Active,2025-04-10T15:50:00.813970,2025-08-08T15:50:00.813970,ri_manager_001,reinsurance_analyst_001,0.82,United States,5000000.00,One reinstatement at 100% additional premium
TRT-000074,"Payne, Chavez and Guzman",Valencia-Paul,Surplus Share,Global Workers Compensation Surplus Share Treaty,Workers Compensation,Global,Global,710039.94,10000000,710039.94,40,40.00,Medium,War Exclusion,Treaty designed to reduce retained underwriting volatility.,treaty_management_platform,internal,2025-05-02,2026-05-02,Expired,2025-04-02T15:50:00.813970,2025-07-31T15:50:00.813970,reinsurance_analyst_001,ri_manager_001,0.44,Global,10000000.00,Not applicable / subject to treaty terms
TRT-000075,Martin-Newman,James Inc,Quota Share,Global General Liability Quota Share Treaty,General Liability,Global,Global,24093992.06,100000000,24093992.06,40,40.00,Medium,Cyber Exclusion,Treaty designed to reduce retained underwriting volatility.,reinsurance_admin_system,internal,2024-03-18,2025-03-18,Expired,2024-02-17T15:50:00.813970,2024-06-16T15:50:00.813970,reinsurance_analyst_001,reinsurance_analyst_001,0.67,Global,100000000.00,Not applicable / subject to treaty terms
TRT-000076,Johnson LLC,Price-Williams,Excess of Loss,Gulf Coast General Liability Excess of Loss Treaty,General Liability,Gulf Coast,Gulf Coast,5158783.24,50000000,5158783.24,30,30.00,Medium,"Terrorism Exclusion, War Exclusion",Coverage includes regional catastrophe aggregation management.,ceded_reinsurance_portal,restricted,2026-03-09,2027-03-09,Active,2026-02-07T15:50:00.813970,2026-06-07T15:50:00.813970,reinsurance_analyst_001,ri_manager_001,0.29,Gulf Coast,50000000.00,One reinstatement at 100% additional premium
TRT-000077,Stephens-Carpenter,"Alexander, Clarke and Cohen",Catastrophe XOL,Southeast US Commercial Property Catastrophe XOL Treaty,Commercial Property,Southeast US,Southeast US,4102157.65,25000000,4102157.65,90,90.00,High,"Cyber Exclusion, Terrorism Exclusion",Catastrophe XOL treaty covering exposures in Southeast US.,reinsurance_admin_system,restricted,2024-03-16,2025-03-16,Expired,2024-02-15T15:50:00.814970,2024-06-14T15:50:00.814970,reinsurance_analyst_001,reinsurance_analyst_001,0.53,Southeast US,25000000.00,One reinstatement at 100% additional premium
TRT-000078,Perry Inc,Mccoy Inc,Excess of Loss,Gulf Coast Workers Compensation Excess of Loss Treaty,Workers Compensation,Gulf Coast,Gulf Coast,1295924.81,10000000,1295924.81,50,50.00,Medium,"Cyber Exclusion, Nuclear Exclusion",Coverage includes regional catastrophe aggregation management.,treaty_management_platform,restricted,2023-12-21,2024-12-20,Expired,2023-11-21T15:50:00.814970,2024-03-20T15:50:00.814970,reinsurance_analyst_001,reinsurance_analyst_001,0.76,Gulf Coast,10000000.00,One reinstatement at 100% additional premium
TRT-000079,Sheppard Group,"Romero, Garrett and Green",Excess of Loss,Global Commercial Property Excess of Loss Treaty,Commercial Property,Global,Global,496100.40,5000000,496100.40,75,75.00,Low,Terrorism Exclusion,Treaty includes catastrophe protection for Global.,treaty_management_platform,restricted,2026-04-13,2027-04-13,Active,2026-03-14T15:50:00.814970,2026-07-12T15:50:00.814970,reinsurance_analyst_001,ri_manager_001,0.38,Global,5000000.00,One reinstatement at 100% additional premium
TRT-000080,"Wallace, Guerrero and Johnson","Jones, Faulkner and Cooley",Excess of Loss,Southeast US General Liability Excess of Loss Treaty,General Liability,Southeast US,Southeast US,2228237.30,25000000,2228237.30,10,10.00,Low,"War Exclusion, Terrorism Exclusion",Excess of Loss treaty covering exposures in Southeast US.,ceded_reinsurance_portal,internal,2023-02-06,2024-02-06,Expired,2023-01-07T15:50:00.814970,2023-05-07T15:50:00.814970,ri_manager_001,reinsurance_analyst_001,0.61,Southeast US,25000000.00,One reinstatement at 100% additional premium
TRT-000081,Brown-Diaz,Nunez Inc,Excess of Loss,United States Cyber Excess of Loss Treaty,Cyber,United States,United States,2493546.77,10000000,2493546.77,90,90.00,Medium,Cyber Exclusion,Treaty designed to reduce retained underwriting volatility.,reinsurance_admin_system,internal,2023-05-12,2024-05-11,Expired,2023-04-12T15:50:00.815970,2023-08-10T15:50:00.815970,ri_manager_001,ri_manager_001,0.82,United States,10000000.00,One reinstatement at 100% additional premium
TRT-000082,"Perez, Jackson and Pruitt","Curtis, Phillips and Gutierrez",Quota Share,Gulf Coast Cyber Quota Share Treaty,Cyber,Gulf Coast,Gulf Coast,618400.90,5000000,618400.90,20,20.00,Low,Terrorism Exclusion,Treaty designed to reduce retained underwriting volatility.,reinsurance_admin_system,restricted,2023-08-30,2024-08-29,Expired,2023-07-31T15:50:00.815970,2023-11-28T15:50:00.815970,reinsurance_analyst_001,reinsurance_analyst_001,0.44,Gulf Coast,5000000.00,Not applicable / subject to treaty terms
TRT-000083,Lewis-Roth,"Cox, Kane and Nelson",Surplus Share,Global Workers Compensation Surplus Share Treaty,Workers Compensation,Global,Global,10551309.55,100000000,10551309.55,10,10.00,Medium,"Terrorism Exclusion, Nuclear Exclusion",Reinsurance agreement structured for multi-line protection.,treaty_management_platform,internal,2023-09-16,2024-09-15,Expired,2023-08-17T15:50:00.815970,2023-12-15T15:50:00.815970,ri_manager_001,reinsurance_analyst_001,0.67,Global,100000000.00,Not applicable / subject to treaty terms
TRT-000084,Williams-Owens,Camacho-Stanley,Quota Share,Gulf Coast Commercial Property Quota Share Treaty,Commercial Property,Gulf Coast,Gulf Coast,305847.58,5000000,305847.58,50,50.00,Low,"Pandemic Exclusion, Terrorism Exclusion",Reinsurance agreement structured for multi-line protection.,treaty_management_platform,internal,2024-03-22,2025-03-22,Expired,2024-02-21T15:50:00.815970,2024-06-20T15:50:00.815970,reinsurance_analyst_001,reinsurance_analyst_001,0.29,Gulf Coast,5000000.00,Not applicable / subject to treaty terms
TRT-000085,Espinoza-Owens,Hawkins-Walker,Quota Share,North America Commercial Property Quota Share Treaty,Commercial Property,North America,North America,8629520.77,50000000,8629520.77,50,50.00,Medium,"Pandemic Exclusion, Cyber Exclusion",Treaty includes catastrophe protection for North America.,reinsurance_admin_system,restricted,2023-05-28,2024-05-27,Expired,2023-04-28T15:50:00.816969,2023-08-26T15:50:00.816969,reinsurance_analyst_001,ri_manager_001,0.53,North America,50000000.00,Not applicable / subject to treaty terms
TRT-000086,Patrick-Mays,Simmons LLC,Surplus Share,North America Workers Compensation Surplus Share Treaty,Workers Compensation,North America,North America,801845.05,5000000,801845.05,30,30.00,Low,"Nuclear Exclusion, War Exclusion",Surplus Share treaty covering exposures in North America.,ceded_reinsurance_portal,internal,2025-02-07,2026-02-07,Expired,2025-01-08T15:50:00.816969,2025-05-08T15:50:00.816969,reinsurance_analyst_001,ri_manager_001,0.76,North America,5000000.00,Not applicable / subject to treaty terms
TRT-000087,Martinez Ltd,Carpenter-Love,Catastrophe XOL,Global Cyber Catastrophe XOL Treaty,Cyber,Global,Global,8897690.88,50000000,8897690.88,50,50.00,High,"Cyber Exclusion, War Exclusion",Treaty includes catastrophe protection for Global.,treaty_management_platform,internal,2025-07-29,2026-07-29,Active,2025-06-29T15:50:00.816969,2025-10-27T15:50:00.816969,reinsurance_analyst_001,reinsurance_analyst_001,0.38,Global,50000000.00,One reinstatement at 100% additional premium
TRT-000088,Thompson-Anderson,Wright Inc,Excess of Loss,Gulf Coast Commercial Auto Excess of Loss Treaty,Commercial Auto,Gulf Coast,Gulf Coast,1018635.03,5000000,1018635.03,20,20.00,Low,War Exclusion,Coverage includes regional catastrophe aggregation management.,treaty_management_platform,internal,2025-10-30,2026-10-30,Active,2025-09-30T15:50:00.816969,2026-01-28T15:50:00.816969,reinsurance_analyst_001,ri_manager_001,0.61,Gulf Coast,5000000.00,One reinstatement at 100% additional premium
TRT-000089,"Francis, Rush and Patrick",Gonzalez Ltd,Quota Share,North America Commercial Auto Quota Share Treaty,Commercial Auto,North America,North America,11639941.77,100000000,11639941.77,20,20.00,Medium,"Cyber Exclusion, Terrorism Exclusion",Quota Share treaty covering exposures in North America.,reinsurance_admin_system,restricted,2026-01-14,2027-01-14,Active,2025-12-15T15:50:00.816969,2026-04-14T15:50:00.816969,reinsurance_analyst_001,ri_manager_001,0.82,North America,100000000.00,Not applicable / subject to treaty terms
TRT-000090,Todd-Ramirez,Graham-Valdez,Excess of Loss,United States Commercial Auto Excess of Loss Treaty,Commercial Auto,United States,United States,16799274.56,100000000,16799274.56,10,10.00,Medium,"Cyber Exclusion, Pandemic Exclusion",Treaty designed to reduce retained underwriting volatility.,treaty_management_platform,restricted,2023-08-03,2024-08-02,Expired,2023-07-04T15:50:00.816969,2023-11-01T15:50:00.816969,ri_manager_001,ri_manager_001,0.44,United States,100000000.00,One reinstatement at 100% additional premium
TRT-000091,Mccann-Marshall,Dyer and Sons,Excess of Loss,Southeast US Workers Compensation Excess of Loss Treaty,Workers Compensation,Southeast US,Southeast US,4178455.82,50000000,4178455.82,40,40.00,Medium,"Cyber Exclusion, War Exclusion",Excess of Loss treaty covering exposures in Southeast US.,ceded_reinsurance_portal,confidential,2024-10-16,2025-10-16,Expired,2024-09-16T15:50:00.817969,2025-01-14T15:50:00.817969,reinsurance_analyst_001,ri_manager_001,0.67,Southeast US,50000000.00,One reinstatement at 100% additional premium
TRT-000092,"Thomas, Dillon and Todd","Martinez, Ruiz and Lopez",Excess of Loss,Southeast US General Liability Excess of Loss Treaty,General Liability,Southeast US,Southeast US,11635044.39,50000000,11635044.39,30,30.00,Medium,"Pandemic Exclusion, Cyber Exclusion",Coverage includes regional catastrophe aggregation management.,ceded_reinsurance_portal,restricted,2023-09-10,2024-09-09,Expired,2023-08-11T15:50:00.817969,2023-12-09T15:50:00.817969,ri_manager_001,reinsurance_analyst_001,0.29,Southeast US,50000000.00,One reinstatement at 100% additional premium
TRT-000093,Jackson Group,"Smith, Cooper and Floyd",Excess of Loss,Southeast US General Liability Excess of Loss Treaty,General Liability,Southeast US,Southeast US,9324391.15,50000000,9324391.15,10,10.00,Medium,Nuclear Exclusion,Reinsurance agreement structured for multi-line protection.,treaty_management_platform,internal,2024-10-20,2025-10-20,Expired,2024-09-20T15:50:00.817969,2025-01-18T15:50:00.817969,ri_manager_001,reinsurance_analyst_001,0.53,Southeast US,50000000.00,One reinstatement at 100% additional premium
TRT-000094,Patterson-Moon,Camacho Group,Catastrophe XOL,Gulf Coast Cyber Catastrophe XOL Treaty,Cyber,Gulf Coast,Gulf Coast,21082895.93,100000000,21082895.93,75,75.00,High,"Terrorism Exclusion, Pandemic Exclusion",Coverage includes regional catastrophe aggregation management.,ceded_reinsurance_portal,confidential,2023-06-30,2024-06-29,Expired,2023-05-31T15:50:00.817969,2023-09-28T15:50:00.817969,ri_manager_001,reinsurance_analyst_001,0.76,Gulf Coast,100000000.00,One reinstatement at 100% additional premium
TRT-000095,"Moore, Christensen and Norman",Collier Ltd,Catastrophe XOL,Southeast US General Liability Catastrophe XOL Treaty,General Liability,Southeast US,Southeast US,19285555.05,100000000,19285555.05,50,50.00,High,Pandemic Exclusion,Treaty includes catastrophe protection for Southeast US.,ceded_reinsurance_portal,internal,2024-10-31,2025-10-31,Expired,2024-10-01T15:50:00.818969,2025-01-29T15:50:00.818969,ri_manager_001,reinsurance_analyst_001,0.38,Southeast US,100000000.00,One reinstatement at 100% additional premium
TRT-000096,"Bush, Barber and Brown",Smith-Leonard,Surplus Share,Southeast US Workers Compensation Surplus Share Treaty,Workers Compensation,Southeast US,Southeast US,1319185.16,10000000,1319185.16,90,90.00,Medium,Pandemic Exclusion,Reinsurance agreement structured for multi-line protection.,reinsurance_admin_system,internal,2025-09-21,2026-09-21,Active,2025-08-22T15:50:00.818969,2025-12-20T15:50:00.818969,ri_manager_001,reinsurance_analyst_001,0.61,Southeast US,10000000.00,Not applicable / subject to treaty terms
TRT-000097,Walters PLC,Byrd Ltd,Excess of Loss,North America Cyber Excess of Loss Treaty,Cyber,North America,North America,23078729.62,100000000,23078729.62,20,20.00,Medium,Terrorism Exclusion,Excess of Loss treaty covering exposures in North America.,treaty_management_platform,restricted,2025-05-27,2026-05-27,Active,2025-04-27T15:50:00.818969,2025-08-25T15:50:00.818969,reinsurance_analyst_001,reinsurance_analyst_001,0.82,North America,100000000.00,One reinstatement at 100% additional premium
TRT-000098,Bryant-Martinez,"Jones, Mejia and Howard",Quota Share,Gulf Coast Commercial Auto Quota Share Treaty,Commercial Auto,Gulf Coast,Gulf Coast,12757434.54,100000000,12757434.54,75,75.00,High,Cyber Exclusion,Reinsurance agreement structured for multi-line protection.,reinsurance_admin_system,restricted,2024-11-11,2025-11-11,Expired,2024-10-12T15:50:00.818969,2025-02-09T15:50:00.818969,reinsurance_analyst_001,ri_manager_001,0.44,Gulf Coast,100000000.00,Not applicable / subject to treaty terms
TRT-000099,Cox-Blankenship,Shelton-Nicholson,Excess of Loss,Global Workers Compensation Excess of Loss Treaty,Workers Compensation,Global,Global,8440324.68,50000000,8440324.68,10,10.00,Medium,"War Exclusion, Cyber Exclusion",Coverage includes regional catastrophe aggregation management.,treaty_management_platform,restricted,2025-11-01,2026-11-01,Active,2025-10-02T15:50:00.818969,2026-01-30T15:50:00.818969,ri_manager_001,ri_manager_001,0.67,Global,50000000.00,One reinstatement at 100% additional premium
TRT-000100,Fields-Parker,Nichols Group,Excess of Loss,United States Commercial Auto Excess of Loss Treaty,Commercial Auto,United States,United States,6043274.61,25000000,6043274.61,75,75.00,Medium,"Pandemic Exclusion, Nuclear Exclusion",Excess of Loss treaty covering exposures in United States.,ceded_reinsurance_portal,restricted,2026-04-19,2027-04-19,Active,2026-03-20T15:50:00.819969,2026-07-18T15:50:00.819969,reinsurance_analyst_001,reinsurance_analyst_001,0.29,United States,25000000.00,One reinstatement at 100% additional premium
